,zip,city,cases,n_killed,n_injured,population,rate,High school or higher,Bachelor or higher,poverty,unemployment
1463,19018,Buffalo,1.0,0.0,0.0,23574.0,0.04241961482989734,92.6,25.2,8.6,5.8
1464,19021,Buffalo,2.0,0.0,0.0,9865.0,0.20273694880892043,84.5,12.7,11.5,12.3
1465,19022,Buffalo,1.0,1.0,1.0,4120.0,0.24271844660194175,88.5,8.2,23.8,11.9
1466,19023,Buffalo,5.0,3.0,3.0,22335.0,0.2238638907544213,88.2,15.6,24.8,10.5
1467,19026,Buffalo,4.0,0.0,0.0,31229.0,0.12808607384162157,95.5,41.4,8.0,5.9
1468,19032,Buffalo,1.0,0.0,0.0,6620.0,0.1510574018126888,90.7,20.2,12.7,7.8
1469,19036,Buffalo,1.0,0.0,0.0,13011.0,0.07685804319422028,93.2,21.4,11.4,6.4
1470,19046,Buffalo,1.0,0.0,0.0,17403.0,0.05746135723725795,97.2,57.3,7.0,5.7
1471,19050,Buffalo,2.0,0.0,0.0,27938.0,0.07158708568974158,92.8,30.7,10.5,7.9
1472,19053,Buffalo,1.0,0.0,0.0,25718.0,0.038883272416206545,92.5,30.6,3.9,5.3
1473,19055,Buffalo,1.0,0.0,0.0,13934.0,0.07176690110521028,91.1,12.8,4.8,6.0
1474,19056,Buffalo,1.0,0.0,0.0,15579.0,0.06418897233455292,93.4,26.7,5.4,6.2
1475,19061,Buffalo,2.0,0.0,0.0,19749.0,0.10127095042786977,89.8,19.0,10.3,9.3
1476,19063,Buffalo,2.0,0.0,0.0,35513.0,0.05631740489398249,97.5,55.3,3.5,4.9
1477,19066,Buffalo,1.0,0.0,0.0,5752.0,0.17385257301808069,99.6,87.2,3.2,5.9
1478,19067,Buffalo,2.0,1.0,1.0,51751.0,0.03864659620103959,95.7,55.9,3.3,5.9
1479,19081,Buffalo,1.0,1.0,1.0,9984.0,0.10016025641025642,97.0,59.8,2.5,3.7
1480,19082,Buffalo,3.0,0.0,0.0,40797.0,0.07353481873667182,84.8,24.1,21.0,8.5
1481,19086,Buffalo,1.0,2.0,2.0,11715.0,0.08536064874093043,95.9,59.2,4.3,6.4
1482,19090,Buffalo,1.0,0.0,0.0,19119.0,0.05230399079449762,94.0,36.5,9.4,6.6
1483,19102,Buffalo,1.0,0.0,0.0,5042.0,0.19833399444664818,98.4,85.4,12.9,3.5
1484,19103,Buffalo,2.0,0.0,0.0,22940.0,0.08718395815170009,97.1,80.9,10.8,3.2
1485,19104,Buffalo,15.0,7.0,7.0,55205.0,0.27171451861244456,84.4,35.8,46.1,8.9
1486,19106,Buffalo,3.0,3.0,3.0,12045.0,0.24906600249066002,96.4,77.2,7.1,3.3
1487,19107,Buffalo,2.0,0.0,0.0,13832.0,0.14459224985540775,89.6,65.9,26.8,6.0
1488,19111,Buffalo,4.0,1.0,1.0,70020.0,0.057126535275635534,83.3,22.1,19.7,11.3
1489,19114,Buffalo,1.0,0.0,0.0,31478.0,0.03176821907363873,90.9,25.3,9.7,6.9
1490,19118,Buffalo,2.0,0.0,0.0,10800.0,0.18518518518518517,94.7,67.3,7.1,5.1
1491,19119,Buffalo,8.0,3.0,3.0,29163.0,0.2743202002537462,91.8,46.2,11.6,10.2
1492,19120,Buffalo,29.0,6.0,6.0,72376.0,0.40068531004752955,72.9,12.3,31.3,16.2
1493,19121,Buffalo (Lackawanna),25.0,11.0,11.0,31546.0,0.7924935015532872,78.3,12.6,50.2,13.9
1494,19122,Buffalo (Lackawanna),6.0,5.0,5.0,22690.0,0.2644336712208021,77.4,24.4,36.0,13.0
1495,19123,Buffalo,8.0,3.0,3.0,15167.0,0.5274609349245072,90.0,52.5,21.1,7.6
1496,19124,Buffalo,32.0,15.0,15.0,68905.0,0.4644075175966911,74.7,9.9,35.1,17.7
1497,19125,Clarence,6.0,2.0,2.0,24149.0,0.24845749306389497,83.2,37.8,18.6,10.5
1498,19126,Buffalo (West Seneca),5.0,4.0,4.0,15982.0,0.3128519584532599,81.9,22.6,20.1,13.6
1499,19128,Buffalo (Cheektowaga),2.0,2.0,2.0,37550.0,0.053262316910785625,94.1,47.8,11.2,5.2
1500,19130,Buffalo (Cheektowaga),5.0,1.0,1.0,26100.0,0.19157088122605362,93.6,68.3,14.4,4.1
1501,19131,Buffalo (Cheektowaga),21.0,8.0,8.0,44915.0,0.46754981631971504,87.2,24.1,31.3,9.6
1502,19132,Buffalo (Cheektowaga),35.0,23.0,23.0,33368.0,1.0489091345001198,79.5,7.8,41.2,14.7
1503,19133,Buffalo (Amherst),32.0,15.0,15.0,27397.0,1.168011096105413,59.2,3.9,56.3,22.2
1504,19134,Niagara Falls,50.0,25.0,25.0,62861.0,0.7954057364661714,67.1,10.2,41.2,19.0
1505,19135,Niagara Falls,6.0,1.0,1.0,33602.0,0.1785607999523838,82.9,13.2,21.1,11.6
1506,19136,Niagara Falls,5.0,2.0,2.0,32912.0,0.15192027224112786,84.9,16.1,18.5,10.4
1507,19137,Niagara Falls,2.0,3.0,3.0,7937.0,0.2519843769686279,86.3,15.3,15.2,7.4
1508,19138,Niagara Falls,11.0,4.0,4.0,34614.0,0.3177904893973537,85.1,14.5,21.8,16.4
1509,19139,Niagara Falls,17.0,6.0,6.0,44675.0,0.38052602126468943,83.7,14.8,35.1,14.1
1510,19140,Niagara Falls,39.0,12.0,12.0,49300.0,0.7910750507099392,70.8,6.0,46.3,23.2
1511,19141,Niagara Falls,22.0,6.0,6.0,33791.0,0.6510609333846291,81.8,15.7,30.7,17.0
1512,19142,Niagara Falls,12.0,7.0,7.0,28238.0,0.4249592747361711,79.3,9.5,34.3,18.2
1513,19143,Niagara Falls,40.0,14.0,14.0,65812.0,0.60779189205616,84.5,22.5,30.1,16.1
1514,19144,Niagara Falls,19.0,7.0,7.0,41209.0,0.46106433060739155,83.9,28.5,33.0,12.1
1515,19145,Niagara Falls,16.0,1.0,1.0,46311.0,0.34549027228952084,82.8,21.1,23.3,11.6
1516,19146,Niagara Falls,12.0,4.0,4.0,38486.0,0.3118016941225381,88.5,49.2,17.9,7.5
1517,19147,Niagara Falls,5.0,2.0,2.0,39114.0,0.12783146699391523,89.1,57.3,11.5,6.0
